key,zh-CN (source),en (translate this),notes
case.thinkData.4.axes[2].tags[0],微信位置承接,,
case.thinkData.4.axes[2].tags[1],过程反馈,,
case.thinkData.4.axes[2].tags[2],场景心智,,
case.thinkData.4.axes[2].tags[3],原生一致性,,
case.thinkData.4.axes[2].leaves[0],微信位置承接,,
case.thinkData.4.axes[2].leaves[1],加载逻辑 / 过程反馈,,
case.thinkData.4.axes[2].leaves[2],反馈状态简化,,
case.thinkData.4.axes[3].name,一致性与协同,,
case.thinkData.4.axes[3].sub,System,System,
case.thinkData.4.axes[3].title,一致性与协同 · 从局部体验到平台治理,,
case.thinkData.4.axes[3].body[0],简化反馈状态、突出关键结果与场景化信息表达，降低用户在复杂流转中的理解负担。,,
case.thinkData.4.axes[3].body[1],推动设计从局部体验优化，进一步走向系统治理、平台协同与产品长期价值建设。,,
case.thinkData.4.axes[3].tags[0],场景化表达,,
case.thinkData.4.axes[3].tags[1],系统治理,,
case.thinkData.4.axes[3].tags[2],平台协同,,
case.thinkData.4.axes[3].tags[3],长期价值,,
case.thinkData.4.axes[3].leaves[0],关键结果突出,,
case.thinkData.4.axes[3].leaves[1],场景化信息表达,,
case.thinkData.4.axes[3].leaves[2],系统治理 / 协同,,
case.thinkData.5.kicker,Thinking · 05 · 爱奇艺国际,,
case.thinkData.5.title,从「易用」 → 走向<em>沉浸式的内容消费体验</em>,,⚠ preserve HTML tags
case.thinkData.5.caption,"在跨国版图与高频内容消费场景下，把设计从""少几步、好看一点""重新放回到""用户—内容—商业""三者的节奏感里：让观影的感知、付费的决策、平台的目标，在同一条链路上自然衔接。下面是这套思考的四个支撑轴。",,
case.thinkData.5.divider,P.05 · PDF Document · 爱奇艺国际 完整作品,,
case.thinkData.5.center_name,沉浸式内容消费的<em>感知秩序</em>,,⚠ preserve HTML tags
case.thinkData.5.center_hint,让观影节奏、付费决策与商业目标在同一条链路上自然衔接。,,
case.thinkData.5.axes[0].name,高频行为,,
case.thinkData.5.axes[0].sub,Frequency,Frequency,
case.thinkData.5.axes[0].title,高频行为 · 倍速 / 快进 / 进度跳转的隐性体验,,
case.thinkData.5.axes[0].body[0],"观影过程中真正高频的不是""开始播放""，而是倍速、快进、进度跳转——这些行为决定用户对一段内容的留存或放弃。",,
case.thinkData.5.axes[0].body[1],在认知 / 交互 / 感官三个层面同时打磨：交互手势的可预期、视觉反馈的克制、信息出现时机的合理化，让操作不再打断沉浸。,,
case.thinkData.5.axes[0].tags[0],倍速 ×1.5,,
case.thinkData.5.axes[0].tags[1],快进手势,,
case.thinkData.5.axes[0].tags[2],进度可预期,,
case.thinkData.5.axes[0].tags[3],反馈克制,,
case.thinkData.5.axes[0].leaves[0],倍速 / 快进,,
case.thinkData.5.axes[0].leaves[1],进度跳转手势,,
case.thinkData.5.axes[0].leaves[2],反馈节奏,,
case.thinkData.5.axes[1].name,信息层级,,
case.thinkData.5.axes[1].sub,Hierarchy,Hierarchy,
case.thinkData.5.axes[1].title,信息层级 · Tips 与播放反馈的优先级治理,,
case.thinkData.5.axes[1].body[0],播放器里大量被动信息（Tips、推荐、提示、引导）容易在错误时机打断观影；不是不要，而是要分层、分时、分场景出现。,,
case.thinkData.5.axes[1].body[1],"建立""主任务—辅助—背景""三层结构：核心内容永不被遮挡；辅助信息只在用户行为间隙出现；背景信息延后或合并出现。",,
case.thinkData.5.axes[1].tags[0],Tips 优先级,,
case.thinkData.5.axes[1].tags[1],被动信息,,
case.thinkData.5.axes[1].tags[2],出现时机,,
case.thinkData.5.axes[1].tags[3],分层结构,,
case.thinkData.5.axes[1].leaves[0],主任务保护,,
case.thinkData.5.axes[1].leaves[1],Tips 时机,,
case.thinkData.5.axes[1].leaves[2],背景信息合并,,
case.thinkData.5.axes[2].name,决策心理,,
case.thinkData.5.axes[2].sub,Decision,Decision,
case.thinkData.5.axes[2].title,决策心理 · 付费链路里的方向感与信任成本,,
case.thinkData.5.axes[2].body[0],"VIP 付费表面问题是""步骤多""，但更深层是方向感缺失、流程不透明、概念混淆——用户被多次跳转后不知道自己在做什么、走到哪一步。",,
case.thinkData.5.axes[2].body[1],"从""减少步骤""重新切到""降低不确定性""：让用户在每一步都清楚下一步是什么、能回到哪里，并知道自己最终会得到什么。",,
case.thinkData.5.axes[2].tags[0],方向感,,
case.thinkData.5.axes[2].tags[1],信任成本,,
case.thinkData.5.axes[2].tags[2],概念清晰,,
case.thinkData.5.axes[2].tags[3],不确定性,,
case.thinkData.5.axes[2].leaves[0],方向感缺失,,
case.thinkData.5.axes[2].leaves[1],流程透明,,
case.thinkData.5.axes[2].leaves[2],概念去歧义,,
case.thinkData.5.axes[3].name,链路重构,,
case.thinkData.5.axes[3].sub,Flow,Flow,
case.thinkData.5.axes[3].title,链路重构 · 把碎片化跳转聚合为「成为 VIP」的目标体验,,
case.thinkData.5.axes[3].body[0],"把原本分散在套餐选择、银行卡绑定、支付方式、风控验证之间的多跳串行流程，重新聚合为""成为 VIP""这一明确的目标体验。",,
case.thinkData.5.axes[3].body[1],"同时引入支付记忆与状态持续：用户的卡片、套餐选择、未完成状态被保留下来，让用户在多次进出之间感觉是""同一条路""而不是""每次从头来""。",,
case.thinkData.5.axes[3].body[2],"设计的价值不只在""好用""，更在于建立用户期望、内容节奏与商业目标之间一种自然、低损耗、可持续的连接方式。",,
case.thinkData.5.axes[3].tags[0],成为 VIP,,
case.thinkData.5.axes[3].tags[1],统一目标,,
case.thinkData.5.axes[3].tags[2],支付记忆,,
case.thinkData.5.axes[3].tags[3],状态持续,,
case.thinkData.5.axes[3].leaves[0],多跳 → 统一目标,,
case.thinkData.5.axes[3].leaves[1],支付记忆,,
case.thinkData.5.axes[3].leaves[2],状态持续化,,
case.thinkData.6.kicker,Thinking · 06 · 长期复杂业务,,
case.thinkData.6.title,从「做页面」 → 走向<em>做系统</em>,,⚠ preserve HTML tags
case.thinkData.6.caption,"当业务进入""长期 × 复杂 × 多端""阶段，瓶颈不再是单点交付能力，而是设计资源如何被分配、复用、沉淀。把设计变成一项可经营的组织能力——下面四个轴，是我推动这件事的方法论。",,
case.thinkData.6.divider,P.06 · PDF Document · 设计工作体系 完整作品,,
case.thinkData.6.center_name,让设计成为<em>可经营的组织能力</em>,,⚠ preserve HTML tags
case.thinkData.6.center_hint,从经验驱动 → 数据 + 场景 + 认知的体系化方法论。,,
case.thinkData.6.axes[0].name,判断优先级,,
case.thinkData.6.axes[0].sub,Priority,Priority,
case.thinkData.6.axes[0].title,"判断优先级 · 把资源投到""高价值 × 可落地""的象限",,
case.thinkData.6.axes[0].body[0],需求永远比人多。用价值-投入四象限（ROI）框架来评估每一个需求：是否值得做、什么时候做、做到什么程度。,,
case.thinkData.6.axes[0].body[1],"区分""必须做""、""应该做""、""可以做""、""不应该做""——避免设计资源被低价值需求稀释，让有限的投入真正影响业务结果。",,
case.thinkData.6.axes[0].tags[0],价值四象限,,
case.thinkData.6.axes[0].tags[1],ROI 评估,,
case.thinkData.6.axes[0].tags[2],资源分配,,
case.thinkData.6.axes[0].tags[3],需求节流,,
case.thinkData.6.axes[0].leaves[0],价值-投入矩阵,,
case.thinkData.6.axes[0].leaves[1],资源准入,,
case.thinkData.6.axes[0].leaves[2],需求节流,,
case.thinkData.6.axes[1].name,挖掘需求,,
case.thinkData.6.axes[1].sub,Insight,Insight,
case.thinkData.6.axes[1].title,挖掘需求 · 用「人 · 货 · 场」框架找到核心问题,,
case.thinkData.6.axes[1].body[0],"从经验驱动转向""数据 + 场景 + 认知""三位一体：定性研究（线下走访、用户访谈、电话回访、可用性测试）+ 定量研究（埋点、转化漏斗、用户画像、满意度模型）共同驱动需求理解。",,
case.thinkData.6.axes[1].body[1],"用""人-货-场""框架审视每一个需求：用户为什么用、在什么场景下用、得到什么结果——并理解平台体验策略如何反向影响行为与业务。",,
case.thinkData.6.axes[1].tags[0],人-货-场,,
case.thinkData.6.axes[1].tags[1],定性 + 定量,,
case.thinkData.6.axes[1].tags[2],埋点 / 漏斗,,
case.thinkData.6.axes[1].tags[3],满意度模型,,
case.thinkData.6.axes[1].leaves[0],人-货-场,,
case.thinkData.6.axes[1].leaves[1],定性研究,,
case.thinkData.6.axes[1].leaves[2],定量验证,,
case.thinkData.6.axes[2].name,系统性提效,,
case.thinkData.6.axes[2].sub,System,System,
case.thinkData.6.axes[2].title,系统性提效 · 一劳永逸 · 举一反三,,
case.thinkData.6.axes[2].body[0],让每一次设计交付都能被复用：把零散决策抽象为可沉淀的规则、组件、模板与设计资产，让下一个项目天然继承上一个的成果。,,
case.thinkData.6.axes[2].body[1],"面向不同业务终端建立差异化的设计策略——既不重复造轮子，也不强行统一；用""系统骨架 + 差异表皮""换取效率与扩展性的平衡。",,
case.thinkData.6.axes[2].tags[0],资产沉淀,,
case.thinkData.6.axes[2].tags[1],系统骨架,,
case.thinkData.6.axes[2].tags[2],差异化策略,,
case.thinkData.6.axes[2].tags[3],可扩展,,
case.thinkData.6.axes[2].leaves[0],资产沉淀,,
case.thinkData.6.axes[2].leaves[1],系统骨架,,
case.thinkData.6.axes[2].leaves[2],差异化策略,,
case.thinkData.6.axes[3].name,设计度量,,
case.thinkData.6.axes[3].sub,Measurement,Measurement,
case.thinkData.6.axes[3].title,设计度量 · 把设计效果变成可被讨论的数字,,
case.thinkData.6.axes[3].body[0],"建立设计效果的度量体系：从可用性指标、任务完成率、关键转化、满意度模型到长期留存——让""设计好不好""不再是一个主观命题。",,
case.thinkData.6.axes[3].body[1],用数据闭环驱动迭代：发布 → 度量 → 复盘 → 优化，让每一次决策都有可对照的基线，让长期价值在数字里被持续呈现。,,
case.thinkData.6.axes[3].body[2],成熟的设计体系不是一次短期提效，而是长期沉淀下来的组织能力。,,
case.thinkData.6.axes[3].tags[0],可用性指标,,
case.thinkData.6.axes[3].tags[1],满意度模型,,
case.thinkData.6.axes[3].tags[2],数据闭环,,
case.thinkData.6.axes[3].tags[3],长期价值,,
case.thinkData.6.axes[3].leaves[0],指标体系,,
case.thinkData.6.axes[3].leaves[1],满意度建模,,
case.thinkData.6.axes[3].leaves[2],数据闭环,,
